espn_gr,cbs_gr,br_gr,yahoo_gr,ringer_gr
A-,NA,B+,A,NA
A,NA,A,A,NA
A,NA,B+,A,NA
A-,NA,C,A,NA
NA,NA,B,B,NA
A,NA,D,A+,NA
B+,NA,B,A,NA
A-,NA,A-,D,NA
B+,NA,A,A,NA
A,NA,B-,D+,NA
B,NA,B+,B+,NA
A,NA,A-,A,NA
B-,NA,A-,B-,NA
C+,NA,B+,C,NA
A,A,A+,A+,NA
A-,B-,A-,A,NA
A-,A-,A-,A,NA
A-,C+,B+,C,NA
A,A+,A+,A+,NA
B+,A,A+,B,NA
A-,A-,B,B+,NA
C+,B,D+,C,NA
A-,D+,C,A,NA
A,A,A+,A+,NA
B+,A,A+,B,NA
C,C,C,B,NA
C,C-,B+,B,NA
B,C-,B,A+,NA
B+,NA,B,NA,NA
A-,NA,B+,NA,NA
A,NA,A+,NA,NA
C,NA,B,NA,NA
B-,NA,D,NA,NA
A+,NA,A+,NA,NA
A-,NA,A+,NA,NA
B,NA,B+,NA,NA
B+,NA,A,NA,NA
A,NA,C,NA,NA
A+,NA,C+,NA,NA
B+,NA,C+,NA,NA
B+,NA,C+,NA,NA
B-,NA,A+,NA,NA
A,B+,A-,A,NA
A,A,A+,B,NA
NA,C-,A,A,NA
A-,B-,A-,A,NA
A,A+,A,B,NA
A-,A-,B,B,NA
A-,A+,A+,A,NA
B,B,A-,B,NA
B+,A+,A,B,NA
A-,A-,A-,A,NA
A,B-,B,A,NA
NA,C-,A,C,NA
B+,C+,A,A,NA
B,B,B+,C+,NA
A,A+,A+,A+,NA
B+,A-,A,A+,NA
B-,B+,B,B+,NA
A-,B+,B,A+,NA
A,B+,A-,B+,NA
B-,B+,B+,B,NA
A,A-,B+,B,NA
C,B+,B+,C-,NA
C+,C,B,B,NA
A+,C,A-,B+,NA
B,B,B,B+,NA
B+,B-,B+,B+,NA
B,B,B+,A,NA
B+,B,B+,A+,NA
A,A-,A,NA,NA
A,A+,A,NA,NA
C,B-,B-,NA,NA
A,A,B+,NA,NA
A,B,B+,NA,NA
A-,A-,A-,NA,NA
A,B+,B,NA,NA
A,B-,B+,NA,NA
B-,B+,C,NA,NA
A-,D+,C+,NA,NA
A,B,A+,NA,NA
B,D+,B,NA,NA
C+,D+,D+,NA,NA
C,A-,B+,NA,NA
A,A,A+,A+,NA
B+,A,A,A-,NA
B,A,B,A,NA
A,A-,A,A+,NA
A,A,A-,A,NA
A-,A,B+,A-,NA
B,A-,C,B,NA
B+,B,B+,B-,NA
B,B,A+,NA,NA
B+,B+,B+,NA,NA
B+,A-,B+,NA,NA
B,A,A-,NA,NA
A-,A-,C+,NA,NA
C+,B-,C,NA,NA
NA,B+,A,NA,A
NA,B-,A-,NA,B
NA,A-,A+,NA,A
NA,B-,B,NA,A
NA,A,C-,NA,B
NA,A+,A,NA,B
NA,B,B+,NA,B
NA,B+,A-,NA,B
NA,C+,B,NA,B
NA,C-,A,NA,B
NA,B-,B-,NA,A
NA,B-,B-,NA,A
NA,D+,D,NA,C
NA,A,A-,NA,A
A,A,A,A,A
A,A,A,A-,A
NA,A,B+,B+,B
NA,A,A,B+,B
NA,A,B+,C-,C
NA,B,B+,B,B
NA,A,B+,A-,A
A,C,A,B-,B
NA,B,B,C,D
NA,D,A,B-,A
NA,D,C+,D,B
NA,B,B,B,B
NA,B,C,C+,C
NA,C,A,B,B
NA,B+,B,C,A
NA,A+,B+,B,B
NA,A+,A-,D,A
NA,C-,B+,D,B
NA,B+,B,C,C
NA,C+,B-,D,C
NA,C+,A-,A,A
NA,A+,B+,C,C
NA,B+,B-,A,B
NA,D-,C-,D,C
NA,A-,A-,B,A
NA,A+,A,A,A
NA,A+,B+,B,A
NA,A+,C+,C,B
NA,A+,A+,A+,A+
NA,A+,A+,A+,A
NA,A+,A,A,A+
NA,A-,B-,D,B+
NA,A+,A,A+,A
NA,B+,C-,B,B-
NA,A+,B-,C,C+
NA,B-,C+,A+,A-
NA,A+,B,B-,B
NA,A-,D+,C-,C
NA,A+,A,B+,B+
NA,C+,D,B,C-
NA,A-,B-,C+,B
NA,A+,A-,C,B-
NA,A,A,A-,A+
NA,A+,A-,A,A
NA,A+,A,A+,A-
NA,B,B,A,B-
NA,A+,A,A+,B+
NA,A,B-,B-,A
NA,B+,B,B,A+
NA,A+,A-,B+,A
NA,A-,C+,A-,A-
NA,A-,B-,A-,B-
NA,A-,B,C,A+
NA,B+,B-,A,A-
NA,A+,B+,A+,A-
NA,A+,C-,A,C+
NA,A+,A+,A+,A+
NA,A-,B+,C+,B+
NA,A,A,A+,A
NA,A,A-,A,A
NA,B+,B+,B+,A-
NA,A,B+,D+,B
NA,B,C+,B-,B-
NA,A-,B,C+,A
NA,A-,B-,A,B+
NA,B,C+,C,B
NA,C+,D,D+,B
NA,A,A,A-,B
NA,A-,B,A,B
NA,B+,A-,B,B
