Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,3,138,4562,2758,696,892,0.432,0.329,0.858,33.1,20.0,5.0,6.5,1.1,0.012,-0.6,1.6
2,2,HOU,Jalen Green,,3,225,7341,4450,933,748,0.421,0.337,0.794,32.6,19.8,4.1,3.3,5.6,0.036,-1.7,0.5
3,3,CLE,Evan Mobley,USC,3,198,6578,3096,1749,558,0.544,0.265,0.681,33.2,15.6,8.8,2.8,19.3,0.141,1.6,5.9
4,4,TOR,Scottie Barnes,Florida State,3,211,7389,3504,1563,990,0.474,0.311,0.764,35.0,16.6,7.4,4.7,15.9,0.103,1.5,6.5
5,5,ORL,Jalen Suggs,Gonzaga,3,176,4578,2031,561,569,0.422,0.333,0.753,26.0,11.5,3.2,3.2,4.5,0.047,-1.4,0.7
6,6,OKC,Josh Giddey,,3,210,6078,2920,1534,1200,0.464,0.31,0.753,28.9,13.9,7.3,5.7,8.6,0.068,0.7,4.1
7,7,GSW,Jonathan Kuminga,,3,211,4528,2506,820,352,0.524,0.341,0.707,21.5,11.9,3.9,1.7,10.1,0.107,-1.1,1.0
8,8,ORL,Franz Wagner,Michigan,3,231,7375,4103,1066,783,0.479,0.332,0.85,31.9,17.8,4.6,3.4,15.7,0.103,0.1,3.9
9,9,SAC,Davion Mitchell,Baylor,3,227,4624,1690,366,632,0.434,0.327,0.703,20.4,7.4,1.6,2.8,3.0,0.031,-3.4,-1.6
10,10,NOP,Ziaire Williams,Stanford,3,150,2945,1131,388,175,0.426,0.301,0.803,19.6,7.5,2.6,1.2,2.6,0.042,-4.0,-1.5
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,0.363,0.335,0.762,11.4,4.8,1.7,0.9,-0.3,-0.017,-5.9,-0.9
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,0.371,0.3,0.75,19.1,5.7,2.3,1.8,-0.3,-0.011,-5.3,-0.9
13,13,IND,Chris Duarte,Oregon,3,160,3157,1312,447,222,0.405,0.347,0.816,19.7,8.2,2.8,1.4,1.6,0.024,-3.1,-0.9
14,14,GSW,Moses Moody,Arkansas,3,181,2580,1063,381,131,0.46,0.362,0.758,14.3,5.9,2.1,0.7,5.0,0.093,-1.5,0.4
