yr,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP,espn_gr,cbs_gr,br_gr,yahoo_gr,ringer_gr,avg_grade
2011,1,1,CLE,Kyrie Irving,Duke,13,729,25075,17199,2933,4133,0.474,0.393,0.886,34.4,23.6,4,5.7,86.2,0.165,4.5,41.2,3.7,NA,3.3,4,NA,3.6666666666666665
2011,2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8,4,NA,4,4,NA,4
2011,3,3,UTA,Enes Freedom,NA,11,748,16101,8349,5822,638,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,-0.1,7.6,4,NA,3.3,4,NA,3.766666666666667
2011,4,4,CLE,Tristan Thompson,Texas,12,779,20104,6753,6294,776,0.521,0.256,0.597,25.8,8.7,8.1,1,48.9,0.117,-1.7,1.5,3.7,NA,2,4,NA,3.233333333333333
2011,5,5,TOR,Jonas Valančiūnas,NA,12,856,22034,11436,8096,1137,0.561,0.348,0.789,25.7,13.4,9.5,1.3,80.3,0.175,1,16.7,NA,NA,3,3,NA,3
2011,6,6,WAS,Jan Veselý,NA,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-2.6,-0.4,4,NA,1,NA,NA,2.5
2011,7,7,SAC,Bismack Biyombo,NA,13,839,16384,4251,4951,551,0.535,0,0.553,19.5,5.1,5.9,0.7,32.4,0.095,-2.5,-2.2,3.3,NA,3,4,NA,3.4333333333333336
2011,8,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,0.411,0.352,0.807,29.3,14,3.1,3.9,11.6,0.042,-1.6,1.4,3.7,NA,3.7,1,NA,2.8000000000000003
2011,9,9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.8,0.116,2.8,29.8,3.3,NA,4,4,NA,3.766666666666667
2011,10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-2.5,-0.4,4,NA,2.7,1.3,NA,2.6666666666666665
2011,11,11,GSW,Klay Thompson,Washington State,11,793,25844,15531,2795,1843,0.453,0.413,0.858,32.6,19.6,3.5,2.3,55.2,0.103,0.6,16.8,3,NA,3.3,3.3,NA,3.1999999999999997
2011,12,12,UTA,Alec Burks,Colorado,13,742,16713,7990,2518,1466,0.415,0.383,0.806,22.5,10.8,3.4,2,30,0.086,-0.6,6.1,4,NA,3.7,4,NA,3.9
2011,13,13,PHO,Markieff Morris,Kansas,13,776,18295,8020,3824,1200,0.445,0.343,0.778,23.6,10.3,4.9,1.5,27.4,0.072,-1.4,2.6,2.7,NA,3.7,2.7,NA,3.0333333333333337
2011,14,14,HOU,Marcus Morris,Kansas,13,832,22093,9965,3690,1235,0.435,0.377,0.774,26.6,12,4.4,1.5,39.3,0.085,-0.8,6.7,2.3,NA,3.3,2,NA,2.533333333333333
2012,1,1,NOH,Anthony Davis,Kentucky,12,736,25409,17717,7826,1828,0.523,0.297,0.795,34.5,24.1,10.6,2.5,112.1,0.212,6,50.9,4,4,NA,NA,NA,4
2012,2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6,3.7,2.7,3.7,4,NA,3.5250000000000004
2012,3,3,WAS,Bradley Beal,Florida,12,748,25858,16355,3069,3237,0.463,0.375,0.822,34.6,21.9,4.1,4.3,56.1,0.104,1.6,23.6,3.7,3.7,3.7,4,NA,3.7750000000000004
2012,4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,3.7,2.3,3.3,2,NA,2.825
2012,5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,4,NA,NA,NA,NA,4
2012,6,6,POR,Damian Lillard,Weber State,12,842,30521,21151,3573,5659,0.438,0.371,0.897,36.2,25.1,4.2,6.7,110.8,0.174,4.7,51.3,3.3,4,NA,3,NA,3.4333333333333336
2012,7,7,GSW,Harrison Barnes,UNC,12,911,28799,12796,4432,1603,0.457,0.379,0.81,31.6,14,4.9,1.8,56,0.093,-0.9,7.9,3.7,3.7,3,3.3,NA,3.425
2012,8,8,TOR,Terrence Ross,Washington,11,733,17956,8047,2061,936,0.418,0.362,0.837,24.5,11,2.8,1.3,25,0.067,-1,4.5,2.3,3,1.3,2,NA,2.15
2012,9,9,DET,Andre Drummond,UConn,12,864,23469,11000,10671,1073,0.543,0.125,0.482,27.2,12.7,12.4,1.2,75.4,0.154,1.2,18.7,3.7,1.3,2,4,NA,2.75
2012,10,10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,0.419,0.349,0.653,23.8,8.5,2,2.1,15.2,0.043,-3.1,-4.5,4,4,NA,NA,NA,4
